source,target,value,level
Graphics,Software,16,2
Visualization,Virtual machine,16,2
Big data,Analytics,16,2
Analytics,Business intelligence,16,2
Visualization,Vector field,16,2
Polygon mesh,Computer graphics,16,2
Graphics,CUDA,16,2
Haptic technology,Virtual reality,15,2
Visualization,Segmentation,15,2
Visualization,Computation,15,2
Visualization,Quality (philosophy),15,2
Visualization,Texture mapping,15,2
Dimensionality reduction,Visualization,15,2
Rendering (computer graphics),Graphics,15,2
Visualization,Event (particle physics),15,2
Rendering (computer graphics),Software,15,2
Rendering (computer graphics),Animation,14,2
Voxel,Visualization,14,2
Support vector machine,Pattern recognition (psychology),14,2
Augmented reality,Computer graphics,14,2
Data modeling,Data-driven,14,2
Terrain,Rendering (computer graphics),14,2
Visualization,Pipeline (software),14,2
Visualization,Task (project management),14,2
Rendering (computer graphics),Texture mapping,14,2
Task (project management),Visualization,14,2
Visualization,Tracing,14,2
Vortex,Flow (mathematics),14,2
Vortex,Visualization,13,2
Surface (topology),Polygon mesh,13,2
Vortex,Computational fluid dynamics,13,2
Animation,Virtual reality,13,2
Visualization,Geospatial analysis,13,2
Visualization,Web application,13,2
Spatial analysis,Visualization,13,2
Volume (thermodynamics),Pattern recognition (psychology),13,2
Flow (mathematics),Turbulence,13,2
Dimensionality reduction,Curse of dimensionality,13,2
Visualization,Process (computing),13,2
Rendering (computer graphics),Ray tracing (physics),13,2
Scalar (mathematics),Scalar field,13,2
Space (punctuation),Computer graphics,12,2
Visualization,Cluster (spacecraft),12,2
Visualization,Eye tracking,12,2
Graphics processing unit,CUDA,12,2
Data modeling,Analytics,12,2
Visualization,Dimensionality reduction,12,2
Visualization,Focus (optics),12,2
Rendering (computer graphics),Solid modeling,12,2
Pipeline transport,Pipeline (software),12,2
Fluid dynamics,Flow (mathematics),12,2
Visualization,Fluid dynamics,12,2
Dynamics (music),Visualization,12,2
Volume (thermodynamics),Graphics,12,2
User interface,User experience design,12,2
Artificial neural network,Pattern recognition (psychology),12,2
Workflow,Visualization,12,2
Visualization,Graphics,12,2
Compression (physics),Data compression,12,2
User interface,Virtual reality,12,2
Computational fluid dynamics,Visualization,12,2
Rendering (computer graphics),Tracing,12,2
Tree (set theory),Visualization,12,2
Sensemaking,Visualization,12,2
Visualization,"Streamlines, streaklines, and pathlines",12,2
Solid modeling,Virtual reality,12,2
Solid modeling,Computer graphics,12,2
Cluster analysis,Dimensionality reduction,11,2
Aerodynamics,Computational fluid dynamics,11,2
Pattern recognition (psychology),Curse of dimensionality,11,2
Graph,Rendering (computer graphics),11,2
Visualization,Tracking (education),11,2
Visualization,Workflow,11,2
Visualization,Polygon mesh,11,2
Pattern recognition (psychology),Visualization,11,2
Analytics,Social media,11,2
Fluid dynamics,Computational fluid dynamics,11,2
Image (mathematics),Visualization,11,2
Visualization,Ray tracing (physics),11,2
Computational fluid dynamics,Turbulence,11,2
Graphics processing unit,Graphics,11,2
Graphics processing unit,Rendering (computer graphics),11,2
Visualization,Turbulence,11,2
Visualization,Tensor (intrinsic definition),11,2
Visualization,Spatial analysis,11,2
Big data,Social media,11,2
Pattern recognition (psychology),Classifier (UML),11,2
Pattern recognition (psychology),Wavelet,11,2
Projection (relational algebra),Visualization,10,2
Data modeling,Data analysis,10,2
Graphics,Virtual reality,10,2
Visualization,Solid modeling,10,2
Context (archaeology),Focus (optics),10,2
Visualization,Curse of dimensionality,10,2
Visualization,Set (abstract data type),10,2
Multivariate statistics,Pattern recognition (psychology),10,2
Pattern recognition (psychology),Segmentation,10,2
Pattern recognition (psychology),Texture mapping,10,2
Immersion (mathematics),Virtual reality,10,2
Embedding,Visualization,10,2
Tracing,Ray tracing (physics),10,2
Visualization,Time series,10,2
Visualization,Semantics (computer science),10,2
CUDA,Computer graphics,10,2
Analytics,Deep learning,10,2
Visualization,Data modeling,10,2
Visualization,Voxel,10,2
Surface (topology),Visualization,10,2
Polygon mesh,Computation,10,2
Feature selection,Pattern recognition (psychology),10,2
Visualization,Geographic information system,9,2
Visualization,Temporal database,9,2
Volume (thermodynamics),Voxel,9,2
Vortex,Turbulence,9,2
Pattern recognition (psychology),Graph,9,2
User interface,Computer graphics,9,2
Visualization,Sensemaking,9,2
Graphics processing unit,Visualization,9,2
User interface,Rendering (computer graphics),9,2
Visualization,Series (stratigraphy),9,2
Visualization,Object (grammar),9,2
Visualization,Multivariate statistics,9,2
Volume (thermodynamics),Virtual reality,9,2
Analytics,Predictive analytics,9,2
Visualization,Pipeline transport,9,2
Web application,Web page,9,2
Visualization,Business intelligence,9,2
Vector field,Field (mathematics),9,2
Tensor (intrinsic definition),Field (mathematics),9,2
Visualization,User experience design,9,2
Pattern recognition (psychology),Multivariate statistics,9,2
Vector field,Flow (mathematics),9,2
Rendering (computer graphics),Pattern recognition (psychology),9,2
Surface (topology),Rendering (computer graphics),9,2
Perception,Rendering (computer graphics),9,2
Pattern recognition (psychology),Image (mathematics),9,2
Visualization,Blood flow,9,2
Data modeling,Pattern recognition (psychology),9,2
Pattern recognition (psychology),Dimensionality reduction,9,2
Analytics,Sensemaking,9,2
Pattern recognition (psychology),Field (mathematics),8,2
Visualization,Multidimensional data,8,2
Polygon mesh,Finite element method,8,2
Surface (topology),Point cloud,8,2
Aerodynamics,Visualization,8,2
Computer graphics,Ray tracing (physics),8,2
Sequence (biology),Visualization,8,2
Cluster analysis,Graph,8,2
Visualization,Situation awareness,8,2
Visualization,Image (mathematics),8,2
Rendering (computer graphics),Virtual machine,8,2
Computer graphics,Computation,8,2
Feature selection,Visualization,8,2
Visualization,Web page,8,2
Polygon mesh,Virtual reality,8,2
Cluster analysis,Big data,8,2
Polygon mesh,Tetrahedron,8,2
Scale (ratio),Scalability,8,2
CUDA,Speedup,8,2
Pattern recognition (psychology),Rendering (computer graphics),8,2
Visualization,Haptic technology,8,2
Grid,Computation,8,2
Data modeling,Rendering (computer graphics),8,2
Rendering (computer graphics),Point cloud,8,2
Topology (electrical circuits),Network topology,8,2
Support vector machine,Feature extraction,8,2
3D reconstruction,Visualization,8,2
Rendering (computer graphics),Scalability,8,2
Point cloud,Point (geometry),8,2
Decision support system,Visualization,7,2
Visualization,Iterative reconstruction,7,2
Solid modeling,Visualization,7,2
Grid,Computer graphics,7,2
Compression (physics),Lossy compression,7,2
Visualization,Java,7,2
Software,Virtual reality,7,2
Augmented reality,Haptic technology,7,2
Visualization,Microscopy,7,2
Deep learning,Analytics,7,2
Immersion (mathematics),Visualization,7,2
Dimensionality reduction,Dimension (graph theory),7,2
Topology (electrical circuits),Tensor (intrinsic definition),7,2
Visualization,Metric (unit),7,2
Visualization,Crowdsourcing,7,2
Aerodynamics,Flow (mathematics),7,2
Visualization,Usability,7,2
Immersion (mathematics),Virtual machine,7,2
Feature extraction,Convolutional neural network,7,2
Big data,Predictive analytics,7,2
Multidimensional data,Visualization,7,2
Grid,Rendering (computer graphics),7,2
Polygon mesh,Point cloud,7,2
Visualization,Medical imaging,7,2
Ranking (information retrieval),Visualization,7,2
Learning analytics,Visualization,7,2
Grid,Scalability,7,2
Pattern recognition (psychology),Similarity measure,7,2
Scalability,Rendering (computer graphics),7,2
Topological data analysis,Visualization,7,2
Visualization,Classifier (UML),7,2
Visualization,Terrain,7,2
Feature extraction,Dimensionality reduction,7,2
Visualization,Metadata,7,2
Visualization,Ensemble learning,7,2
Spatial analysis,Geospatial analysis,7,2
Rendering (computer graphics),Speedup,7,2
Graphics processing unit,Computer graphics,7,2
Visualization,Trajectory,7,2
Delaunay triangulation,Triangulation,7,2
Visualization,Dimension (graph theory),7,2
Surface (topology),Computer graphics,7,2
Feature selection,Feature extraction,7,2
Feature selection,Feature (linguistics),7,2
Series (stratigraphy),Time series,7,2
User interface,Software,7,2
Visualization,Topic model,7,2
Visualization,Domain (mathematical analysis),7,2
Visualization,Categorical variable,7,2
Segmentation,Visualization,7,2
"Streamlines, streaklines, and pathlines",Flow (mathematics),7,2
Rendering (computer graphics),Computational fluid dynamics,7,2
The Internet,Visualization,7,2
Deep learning,Learning analytics,7,2
Image (mathematics),Pattern recognition (psychology),7,2
Data compression,Rendering (computer graphics),7,2
Support vector machine,Visualization,7,2
Rendering (computer graphics),Space (punctuation),7,2
Direction vector,Field (mathematics),7,2
Rendering (computer graphics),Haptic technology,7,2
Pattern recognition (psychology),Dimension (graph theory),6,2
Analytics,Time series,6,2
Dimensionality reduction,Feature (linguistics),6,2
Vector field,Computational fluid dynamics,6,2
Visualization,3d model,6,2
Polygon mesh,Graphics,6,2
Analytics,Graph,6,2
Cluster analysis,Curse of dimensionality,6,2
Projection (relational algebra),Projector,6,2
Volume (thermodynamics),Segmentation,6,2
Analytics,Situation awareness,6,2
Rendering (computer graphics),Perception,6,2
Cluster analysis,Feature extraction,6,2
Computation,Speedup,6,2
Visualization,Diffusion,6,2
Topological data analysis,Persistent homology,6,2
Shading,Rendering (computer graphics),6,2
Visualization,Annotation,6,2
Motion (physics),Visualization,6,2
Vortex,Vector field,6,2
Analytics,Scalability,6,2
Visualization,Sentiment analysis,6,2
Pattern recognition (psychology),Cluster analysis,6,2
Visualization,Motion (physics),6,2
Visualization,Image resolution,6,2
Terrain,Visualization,6,2
Graphics,Computation,6,2
Architecture,Visualization,6,2
Computer graphics,Flow (mathematics),6,2
Geographic information system,Geospatial analysis,6,2
Polygon mesh,Octree,6,2
Visualization,Octree,6,2
Visualization,Table (database),6,2
Computer graphics,Tracing,6,2
Tracking (education),Pattern recognition (psychology),6,2
Pixel,Image (mathematics),6,2
Projection (relational algebra),Pattern recognition (psychology),6,2
Surface (topology),Curvature,6,2
Support vector machine,Feature (linguistics),6,2
Rendering (computer graphics),Segmentation,6,2
Focus (optics),Visualization,6,2
Polygon mesh,Triangulation,6,2
Big data,Scalability,6,2
Sequence (biology),Event (particle physics),6,2
Computational geometry,Delaunay triangulation,6,2
Big data,Time series,6,2
Space (punctuation),Virtual reality,6,2
Generative grammar,Visualization,6,2
