source,target,value,level
Visualization,Uncertainty analysis,6,2
Perception,Pattern recognition (psychology),6,2
Visualization,Graphical user interface,6,2
Segmentation,Pattern recognition (psychology),6,2
CUDA,Computation,6,2
Visualization,Tree (set theory),6,2
Sensemaking,Analytics,6,2
Scalar (mathematics),Visualization,6,2
Surface (topology),Pattern recognition (psychology),6,2
Big data,Business intelligence,6,2
Learning analytics,Sensemaking,6,2
Microscope,Microscopy,6,2
Data modeling,Cluster analysis,6,2
Polygon mesh,Scalability,5,2
Weather forecasting,Visualization,5,2
Ray tracing (physics),Rendering (computer graphics),5,2
Voxel,Iterative reconstruction,5,2
Terrain,Virtual reality,5,2
Feature selection,Dimensionality reduction,5,2
Narrative,Visualization,5,2
Projection (relational algebra),Camera resectioning,5,2
Grid,Computational fluid dynamics,5,2
Rendering (computer graphics),3d model,5,2
Orientation (vector space),Visualization,5,2
Graphics processing unit,Computation,5,2
Iterative reconstruction,Rendering (computer graphics),5,2
Tracking (education),Eye tracking,5,2
Rendering (computer graphics),Pipeline (software),5,2
Visualization,Exploratory research,5,2
"Streamlines, streaklines, and pathlines",Vector field,5,2
Vector field,Visualization,5,2
Volume (thermodynamics),Data compression,5,2
Ray tracing (physics),Tracing,5,2
Software,Graphical user interface,5,2
Rendering (computer graphics),Data structure,5,2
Grid,Data structure,5,2
Topology (electrical circuits),Vector field,5,2
Image (mathematics),Rendering (computer graphics),5,2
Visualization,Automatic summarization,5,2
Cognition,Visualization,5,2
Deep learning,Feature extraction,5,2
Usability,User experience design,5,2
Data modeling,Feature extraction,5,2
Data modeling,Exploratory data analysis,5,2
Semantics (computer science),Semantic similarity,5,2
Projection (relational algebra),Dimensionality reduction,5,2
Context (archaeology),Visualization,5,2
Computational fluid dynamics,Wind tunnel,5,2
Polygon mesh,Voxel,5,2
Aerodynamics,Wind tunnel,5,2
Graphics,Speedup,5,2
Visualization,Speedup,5,2
Visualization,Manifold (fluid mechanics),5,2
Artificial neural network,Analytics,5,2
Analytics,Feature extraction,5,2
Surface (topology),Computational geometry,5,2
Focus (optics),Context (archaeology),5,2
Triangulation,Delaunay triangulation,5,2
Learning analytics,Big data,5,2
Augmented reality,Projector,5,2
"Streamlines, streaklines, and pathlines",Computational fluid dynamics,5,2
Polygon mesh,Delaunay triangulation,5,2
Analytics,Process (computing),5,2
Principal component analysis,Visualization,5,2
Visualization,Query language,5,2
Delaunay triangulation,Polygon mesh,5,2
Polygon mesh,Solid modeling,5,2
3D reconstruction,Rendering (computer graphics),5,2
Rendering (computer graphics),Octree,5,2
Feature selection,Selection (genetic algorithm),5,2
Geographic information system,Spatial analysis,5,2
Pattern recognition (psychology),Subspace topology,5,2
Query language,Query optimization,5,2
Visualization,Chart,5,2
Visualization,Visual search,5,2
Fluid dynamics,Turbulence,5,2
Resolution (logic),Image resolution,5,2
Rendering (computer graphics),Pixel,5,2
Analytics,Sentiment analysis,5,2
Embedding,Dimensionality reduction,5,2
User interface,Usability,5,2
User interface,Graphical user interface,5,2
Computer graphics,Haptic technology,5,2
Visualization,Deformation (meteorology),5,2
Analytics,Event (particle physics),5,2
Big data,Data-driven,5,2
Visualization,Tree traversal,5,2
Multidimensional data,Cluster analysis,5,2
Multidimensional data,Pattern recognition (psychology),5,2
Cluster analysis,Similarity measure,5,2
Analytics,Pattern recognition (psychology),5,2
Visualization,Similarity measure,5,2
Visualization,Multidimensional scaling,5,2
Artificial neural network,Feature extraction,5,2
Software,Java,5,2
Rendering (computer graphics),Flow (mathematics),5,2
Visualization,Presentation (obstetrics),5,2
Graph,Computer graphics,5,2
Flow (mathematics),Rendering (computer graphics),5,2
Visualization,Uncertainty quantification,5,2
Convolutional neural network,Segmentation,5,2
Tree (set theory),Tree traversal,5,2
Analytics,Workflow,5,2
Visualization,Finite element method,5,2
Tree (set theory),Pattern recognition (psychology),5,2
Scalability,Computation,5,2
Visualization,Shading,5,2
Scale (ratio),Rendering (computer graphics),5,2
Topology (electrical circuits),Persistent homology,5,2
Graph,Topology (electrical circuits),5,2
Topological data analysis,Topology (electrical circuits),5,2
Topological data analysis,Graph,5,2
Social media,Topic model,5,2
Topology (electrical circuits),Scalar (mathematics),5,2
Voronoi diagram,Visualization,5,2
Flow (mathematics),Vortex,5,2
Visualization,Cube (algebra),5,2
Camera resectioning,Projector,5,2
Tetrahedron,Rendering (computer graphics),5,2
Rendering (computer graphics),Iterative reconstruction,5,2
Surface (topology),Triangulation,5,2
Visualization,Wavelet,5,2
Grid,Polygon mesh,5,2
Visualization,Cloud computing,4,2
Visualization,Surgical planning,4,2
Field-programmable gate array,Rendering (computer graphics),4,2
Morse code,Morse theory,4,2
Surface (topology),Grid,4,2
Topology (electrical circuits),Field (mathematics),4,2
Computer graphics,Object (grammar),4,2
Hotspot (geology),Visualization,4,2
Polygon mesh,Topology (electrical circuits),4,2
Point cloud,Rendering (computer graphics),4,2
CUDA,Grid,4,2
Virtual reality,Object (grammar),4,2
Vector field,Gravitational singularity,4,2
Segmentation,Point cloud,4,2
Virtual machine,Software,4,2
Tetrahedron,Visualization,4,2
Infographic,Visualization,4,2
Tetrahedron,Computation,4,2
Vector field,Tensor (intrinsic definition),4,2
Vortex,Fluid dynamics,4,2
Visualization,Data compression,4,2
Visualization,Vortex,4,2
Graphics processing unit,Speedup,4,2
Graphics,Grid,4,2
Calibration,Projector,4,2
Scale (ratio),Pattern recognition (psychology),4,2
Visualization,Matrix (chemical analysis),4,2
Selection (genetic algorithm),Visualization,4,2
Rendering (computer graphics),Object (grammar),4,2
Polygon mesh,Computational geometry,4,2
Space (punctuation),Rendering (computer graphics),4,2
Visualization,Point (geometry),4,2
Pixel,Pattern recognition (psychology),4,2
Computer graphics,Graph,4,2
Surface (topology),Solid modeling,4,2
Visualization,Deep learning,4,2
Perception,Virtual reality,4,2
Volume (thermodynamics),Image (mathematics),4,2
Volume (thermodynamics),Texture mapping,4,2
Computer graphics,Texture mapping,4,2
Scalar (mathematics),Vector field,4,2
Compression (physics),Rendering (computer graphics),4,2
Deep learning,Segmentation,4,2
CUDA,Software,4,2
Immersion (mathematics),Rendering (computer graphics),4,2
Computer graphics,Computational fluid dynamics,4,2
Graphics,Tracing,4,2
B-spline,Spline (mechanical),4,2
Visualization,RGB color model,4,2
Computer graphics,Pipeline (software),4,2
Scalability,Pipeline (software),4,2
Confocal microscopy,Microscopy,4,2
Confocal microscopy,Confocal,4,2
Microscopy,Confocal,4,2
Visualization,Workstation,4,2
Data modeling,Multidimensional data,4,2
Cluster analysis,Feature (linguistics),4,2
Support vector machine,Deep learning,4,2
Analytics,Crowdsourcing,4,2
Visualization,Narrative,4,2
Pattern recognition (psychology),Multidimensional scaling,4,2
Graph,Persistent homology,4,2
Analytics,Dimensionality reduction,4,2
Topology (electrical circuits),Scalar field,4,2
Pattern recognition (psychology),Big data,4,2
Analytics,Eye tracking,4,2
Tree traversal,Data structure,4,2
Dimensionality reduction,Big data,4,2
Pattern recognition (psychology),Ensemble learning,4,2
Big data,Event (particle physics),4,2
Voronoi diagram,Delaunay triangulation,4,2
Support vector machine,Classifier (UML),4,2
Pattern recognition (psychology),Perception,4,2
Visualization,Reduction (mathematics),4,2
Surface (topology),Subdivision,4,2
Vortex,"Streamlines, streaklines, and pathlines",4,2
User interface,Graphics,4,2
Data modeling,Feature selection,4,2
Visualization,Rotation (mathematics),4,2
Visualization,Object-oriented programming,4,2
Pattern recognition (psychology),Probabilistic logic,4,2
Volume (thermodynamics),Ray tracing (physics),4,2
Compression (physics),Volume (thermodynamics),4,2
Mobile device,Visualization,4,2
Usability,Visualization,4,2
Cluster analysis,Analytics,4,2
Eye tracking,Tracking (education),4,2
Tracking (education),Visualization,4,2
Visualization,Ontology,4,2
Cluster analysis,Time series,4,2
Lossy compression,Data compression,4,2
Solid modeling,Rendering (computer graphics),4,2
Computer graphics,Perception,4,2
Visualization,Probabilistic logic,4,2
Analytics,Exploratory data analysis,4,2
Node (physics),Graph,4,2
Data modeling,Time series,4,2
Spatial analysis,Geographic information system,4,2
Solid modeling,3d model,4,2
Solid modeling,Geometric modeling,4,2
Data modeling,Convolutional neural network,4,2
Virtual machine,Augmented reality,4,2
Learning analytics,Data analysis,4,2
Animation,Motion (physics),4,2
Uncertainty quantification,Uncertainty analysis,4,2
Multivariate statistics,Data modeling,4,2
Projection (relational algebra),Rendering (computer graphics),4,2
Metadata,Visualization,4,2
Visualization,Cartesian coordinate system,4,2
Cluster analysis,Subspace topology,4,2
Principal component analysis,Multivariate statistics,4,2
Pattern recognition (psychology),Metric (unit),4,2
Principal component analysis,Pattern recognition (psychology),4,2
Pixel,Rendering (computer graphics),4,2
Pattern recognition (psychology),Linear subspace,4,2
Visualization,Field-programmable gate array,4,2
Animation,Flow (mathematics),4,2
Augmented reality,Rendering (computer graphics),4,2
Scale (ratio),Convolutional neural network,4,2
Visualization,Inference,4,2
Visualization,Provenance,4,2
Social media,Sentiment analysis,4,2
Visualization,Metaphor,4,2
Subspace topology,Linear subspace,4,2
Usability,Virtual reality,4,2
User experience design,Virtual reality,4,2
Visualization,Taxonomy (biology),4,2
Sequence (biology),Pattern recognition (psychology),4,2
Dimensionality reduction,Multivariate statistics,4,2
Pattern recognition (psychology),Event (particle physics),4,2
Surface (topology),Delaunay triangulation,4,2
Curvilinear coordinates,Grid,4,2
Debugging,Software,4,2
Data modeling,Bayesian probability,4,2
Embedding,Pattern recognition (psychology),4,2
Computer graphics,3d model,4,2
Virtual reality,3d model,4,2
Data modeling,Deep learning,4,2
Pattern recognition (psychology),Cluster (spacecraft),4,2
Pattern recognition (psychology),Computer graphics,4,2
Ray tracing (physics),Visualization,4,2
Scalar (mathematics),Rendering (computer graphics),4,2
Field (mathematics),Vector field,4,2
Feature learning,Visualization,4,2
Visualization,Bridging (networking),3,2
Polygon mesh,Manifold (fluid mechanics),3,2
Categorization,Visualization,3,2
Voxel,3d model,3,2
Medical imaging,Iterative reconstruction,3,2
Visualization,Fuzzy logic,3,2
Triangulation,Computational geometry,3,2
Rendering (computer graphics),Focus (optics),3,2
Perception,Visualization,3,2
Analytics,Convolutional neural network,3,2
Data compression,Lossy compression,3,2
Rendering (computer graphics),Image (mathematics),3,2
Embedding,Semantics (computer science),3,2
Rendering (computer graphics),Projector,3,2
Semantics (computer science),Word (group theory),3,2
Pattern recognition (psychology),Set (abstract data type),3,2
Analytics,Feature selection,3,2
Recommender system,Social media,3,2
Embedding,Word (group theory),3,2
Visualization,Sketch,3,2
Space (punctuation),Animation,3,2
Computational geometry,Point cloud,3,2
Provenance,Metadata,3,2
Principal component analysis,Dimensionality reduction,3,2
Pattern recognition (psychology),Data-driven,3,2
Virtual reality,Visualization,3,2
Polygon mesh,Boundary (topology),3,2
Embedding,Curse of dimensionality,3,2
Computation,Flow (mathematics),3,2
Feature extraction,Texture mapping,3,2
Visualization,Artery,3,2
Visualization,Boundary (topology),3,2
Rendering (computer graphics),Quality (philosophy),3,2
Topology (electrical circuits),Grid,3,2
Matching (statistics),Pattern recognition (psychology),3,2
Visualization,Projector,3,2
Polygon mesh,Subdivision,3,2
Time series,Series (stratigraphy),3,2
Graphics,Animation,3,2
Volume (thermodynamics),Graphics processing unit,3,2
Volume (thermodynamics),CUDA,3,2
Speedup,Parallel algorithm,3,2
Event (particle physics),Social media,3,2
Visualization,Jet (fluid),3,2
Task (project management),Crowdsourcing,3,2
Task (project management),Topic model,3,2
Causality (physics),Inference,3,2
Visualization,Causality (physics),3,2
Visualization,Profiling (computer programming),3,2
Learning analytics,Business intelligence,3,2
Pattern recognition (psychology),Iterative reconstruction,3,2
Terrain,Digital elevation model,3,2
Word (group theory),Topic model,3,2
Feature (linguistics),Pattern recognition (psychology),3,2
Convolutional neural network,Pattern recognition (psychology),3,2
Surface (topology),Anisotropy,3,2
Flow (mathematics),Pattern recognition (psychology),3,2
Polygon mesh,Speedup,3,2
Tracking (education),Trajectory,3,2
Tracing,Virtual reality,3,2
Volume (thermodynamics),Point cloud,3,2
Voxel,Point cloud,3,2
Visualization,Wind tunnel,3,2
Dimensionality reduction,Selection (genetic algorithm),3,2
Graphics,Ray tracing (physics),3,2
Correlation,Visualization,3,2
